         n,            x ,         t,                    s,     Pk,     k,    epsilon 
     221       0  0.22100000E+00  0.00000000E+00  0.48226069E-04  0.59845893E-02  0.28138780E-02
     222       0  0.22200000E+00  0.00000000E+00  0.48226069E-04  0.59837801E-02  0.28113281E-02
     223       0  0.22300000E+00  0.00000000E+00  0.48226069E-04  0.59829709E-02  0.28087782E-02
     224       0  0.22400000E+00  0.00000000E+00  0.48226069E-04  0.59821617E-02  0.28062283E-02
     225       0  0.22500000E+00  0.00000000E+00  0.48226069E-04  0.59813525E-02  0.28036784E-02
     226       0  0.22600000E+00  0.00000000E+00  0.48226069E-04  0.59805434E-02  0.28011285E-02
     227       0  0.22700000E+00  0.00000000E+00  0.48226069E-04  0.59797342E-02  0.27985786E-02
     228       0  0.22800000E+00  0.00000000E+00  0.48226069E-04  0.59789250E-02  0.27960288E-02
     229       0  0.22900000E+00  0.00000000E+00  0.48226069E-04  0.59781158E-02  0.27934789E-02
     230       0  0.23000000E+00  0.00000000E+00  0.48226069E-04  0.59773066E-02  0.27909290E-02
     231       0  0.23100000E+00  0.00000000E+00  0.48226069E-04  0.59764974E-02  0.27883791E-02
     232       0  0.23200000E+00  0.00000000E+00  0.47745319E-04  0.59757417E-02  0.27860066E-02
     233       0  0.23300000E+00  0.00000000E+00  0.47745319E-04  0.59749860E-02  0.27836341E-02
     234       0  0.23400000E+00  0.00000000E+00  0.47745319E-04  0.59742303E-02  0.27812617E-02
     235       0  0.23500000E+00  0.00000000E+00  0.47745319E-04  0.59734746E-02  0.27788892E-02
     236       0  0.23600000E+00  0.00000000E+00  0.47745319E-04  0.59727189E-02  0.27765167E-02
     237       0  0.23700000E+00  0.00000000E+00  0.47745319E-04  0.59719632E-02  0.27741443E-02
     238       0  0.23800000E+00  0.00000000E+00  0.47745319E-04  0.59712075E-02  0.27717718E-02
     239       0  0.23900000E+00  0.00000000E+00  0.47745319E-04  0.59704517E-02  0.27693993E-02
     240       0  0.24000000E+00  0.00000000E+00  0.47745319E-04  0.59696960E-02  0.27670269E-02
     241       0  0.24100000E+00  0.00000000E+00  0.47745319E-04  0.59689403E-02  0.27646544E-02
     242       0  0.24200000E+00  0.00000000E+00  0.47745319E-04  0.59681846E-02  0.27622819E-02
     243       0  0.24300000E+00  0.00000000E+00  0.47745319E-04  0.59674289E-02  0.27599095E-02
     244       0  0.24400000E+00  0.00000000E+00  0.47745319E-04  0.59666732E-02  0.27575370E-02
     245       0  0.24500000E+00  0.00000000E+00  0.47745319E-04  0.59659175E-02  0.27551646E-02
     246       0  0.24600000E+00  0.00000000E+00  0.47745319E-04  0.59651617E-02  0.27527921E-02
     247       0  0.24700000E+00  0.00000000E+00  0.47745319E-04  0.59644060E-02  0.27504196E-02
